rank,university_name,location,academic_reputation,papers_per_faculty,citation_per_paper,faculty_student,staff_with_phd,web_impact,international_research,employer_reputation,overall_score
2,Universidade Estadual de Campinas,"Campinas, Brazil",100,100,87.8,52.2,100,100,99.3,99.7,98.9
3,Universidade de São Paulo,"São Paulo, Brazil",100,100,79.1,53.7,100,100,99.9,100,98.3
7,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",99.7,98.9,82.2,49.9,100,100,99.6,78.7,93.5
10,UNESP,"Sao Paulo, Brazil",88.1,100,47.6,59.5,100,99.7,94.5,75.3,86
=11,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",93,98.6,80.3,43.1,100,98.9,99.6,57.1,85.9
13,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",95.2,99.7,68.6,n/a,98.9,90.7,81.6,81.6,85.8
14,Universidade Federal do Rio Grande do Sul,"Porto Alegre, Brazil",92.7,100,84.9,33.9,100,99.8,98.7,47.6,83.3
18,Universidade de Brasília,"Brasília, Brazil",86.1,79.1,48.1,44.9,99.6,97.4,95.8,59.8,79.5
22,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",74.4,98.9,71.4,38.6,100,99.9,99.4,52.1,77.6
29,Universidade Federal de São Carlos,"São Paulo, Brazil",60,99.9,80.1,58.2,100,77.5,94.3,51,74.1
=32,Universidade Federal de São Paulo,"São Paulo, Brazil",54.5,95.5,82.2,100,82.1,80.8,99.6,40.5,73.4
34,Universidade Federal do Paraná,"Curitiba, Brazil",59.3,96.3,53.2,65,100,94.8,99.1,50.9,73
41,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",69.7,15.6,n/a,90.4,99.1,70.1,n/a,91.3,67
45,Universidade Federal de Pernambuco,"Recife, Brazil",60.5,80.7,54.2,57,99,90.6,95.8,n/a,64.1
47,Pontifícia Universidade Católica do Rio Grande do Sul,"Porto Alegre, Brazil",39.3,87.9,87.2,32.3,96.3,80.3,81.9,49.7,63.1
49,Universidade do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",38.1,67.5,38.5,58.7,100,95.9,96,53,62.7
53,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",42.4,73.9,51.6,70.3,100,94.2,94.5,20.4,59.9
55,Universidade Federal do Ceará,"Fortaleza, Brazil",33.2,87.6,83.8,49.3,93.5,91.1,100,23.8,59.3
=66,Universidade Federal da Bahia,"Salvador, Brazil",35.9,72.8,57.2,63.6,83.8,89.9,95.6,n/a,54.7
76,Universidade Federal de Viçosa,"Viçosa, Brazil",30.3,99.2,34.5,67,99.5,73.5,81.1,20.1,52.6
83,Universidade Federal de Pelotas,"Pelotas, Brazil",19.7,82.6,67.2,76.9,93.5,63.5,91.8,n/a,50
=84,Universidade Presbiteriana Mackenzie,"São Paulo, Brazil",n/a,29.3,51.5,n/a,93,58.8,85.4,72.5,49.4
=86,Universidade Federal de Santa Maria,"Santa Maria, Brazil",30.3,88.3,40.7,52.9,98.4,73.2,80,n/a,49.1
94,Universidade Federal de Goiás,"Goiânia, Brazil",n/a,54.5,64.7,85.4,97.2,93.8,80.2,n/a,47.9
