rank,university_name,location,papers_per_faculty,citation_per_paper,academic_reputation,staff_with_phd,faculty_student,international_research,web_impact,employer_reputation,overall_score
2,Universidade de São Paulo,"São Paulo, Brazil",100,87.4,100,100,53.3,100,100,99.7,99.4
5,Universidade Estadual de Campinas,"Campinas, Brazil",100,90.9,99.9,100,46.3,99.3,100,88.1,96.4
9,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",99.4,84.3,99.4,99.8,46.6,99.8,100,61.4,90
11,UNESP,"Sao Paulo, Brazil",100,63.2,86.6,100,68.4,99,99.8,51.6,83.9
15,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",99.9,81.3,88.6,99.9,25.4,84.2,96.5,50.9,80
17,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",99.1,81.4,89.3,100,39.1,99.1,99.5,27.7,78.4
19,Universidade Federal do Rio Grande do Sul,"Porto Alegre, Brazil",100,88.7,87.2,100,23,99.8,99.8,17.9,74.9
22,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",96.3,76.8,70.1,100,61.4,98.6,99.9,24.2,73.3
29,Universidade de Brasília,"Brasília, Brazil",86.5,49.1,79.5,100,29.6,98.1,99.1,27,70
30,Universidade Federal de São Paulo,"São Paulo, Brazil",96.8,91.3,51.9,100,100,84.3,77.7,18,69.2
32,Universidade Federal do Paraná,"Curitiba, Brazil",91.1,58.1,52.3,99.6,60.2,98.7,98.8,33.2,67.1
35,Universidade Federal de São Carlos,"São Paulo, Brazil",100,83.9,55,100,50.4,93.2,82.7,20.1,66
45,Universidade Federal de Pernambuco,"Recife, Brazil",81.3,65,53.8,99.8,58.7,97.6,87.6,9.4,61.9
51,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",22.2,4.8,53.9,99.6,84.7,n/a,79.6,63,55.8
51,Universidade do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",77.2,49.9,36.3,100,49.3,88.3,90.2,23.8,55.8
54,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",75.5,54.5,33.5,100,58.9,97.3,99,11.6,55.1
55,Pontifícia Universidade Católica do Rio Grande do Sul,"Porto Alegre, Brazil",98.7,77.5,31.3,100,44.2,71.2,85.7,20.1,54.9
60,Universidade Federal do Ceará,"Fortaleza, Brazil",91.2,83.7,29.1,99.7,32.2,92.1,90.2,10.9,53.6
77,Universidade Federal de Viçosa,"Viçosa, Brazil",99.8,52.9,26.3,100,45.9,77.6,75.9,6.9,48.3
78,Universidade Federal da Bahia,"Salvador, Brazil",73.8,63.1,28.8,100,37.2,69.3,94.4,7.9,48.2
79,Universidade Federal de Pelotas,"Pelotas, Brazil",90.9,75.3,12.1,100,71,81.6,75.5,3.2,48
81,Universidade Federal do Rio Grande do Norte,"Rio Grande do Norte, Brazil",84.2,71,18,99.8,27,93.4,91.4,6.5,47.1
86,Universidade Estadual de Londrina,"Londrina, Brazil",76.2,60.6,14.7,100,63.2,60,74.4,14,45.6
87,Universidade Federal de Santa Maria,"Santa Maria, Brazil",93.8,50.2,20.8,100,38.8,79.9,82.7,4.7,45.3
92,Universidade Estadual de Maringá,"Maringá, Brazil",85.5,57.5,13.6,99.2,61.7,64.1,93.4,4.7,44.6
93,Universidade Federal de Juiz de Fora,"Juiz de For a, Brazil",67.2,46.7,13.7,98.9,76.4,80.3,48.3,9.9,44.5
97,Universidade Federal de Goiás,"Goiânia, Brazil",72.6,56.5,15.7,100,53.7,69.8,88.7,3.9,43.9
107,Universidade Federal da Paraíba,"João Pessoa, Brazil",70.2,45.5,15.7,100,42.4,64.8,68.3,10.5,41.2
107,Universidade Federal de Ouro Preto,"Ouro Preto, Brazil",76,62.6,13.3,99.7,46.9,61.3,49.4,8.5,41.2
112,Universidade Federal de Uberlândia,"Uberlândia, Brazil",83.2,45.6,14.3,100,40.1,65.1,72.2,6.4,40.6
113,Universidade Presbiteriana Mackenzie,"São Paulo, Brazil",35.6,51.9,14.2,94.5,21.8,39.8,53.2,44.1,40.5
114,Universidade Federal do Espírito Santo,"Vitória, Brazil",74.3,50.1,9.5,100,42,83.8,65.1,3.8,40.3
116,Universidade Federal de Lavras,"Lavras, Brazil",99.7,43.8,14.9,100,25.3,68.3,61.9,7.2,39.9
118,Universidade Federal do ABC,"Santo André, Brazil",97.3,84.4,3,100,25.6,72.3,49.7,3.2,39.2
121,Universidade Tecnológica Federal do Paraná,"Curitiba, Brazil",57,39.3,9.7,98.4,61.3,54,75.6,7.6,38.4
122,Universidade Federal de Campina Grande,"Campina Grande, Brazil",75,13.3,14.3,96.2,84,33,90.9,3.6,38
123,Universidade Federal de Itajubá,"Itajubá, Brazil",86,66.5,8,99.4,45.9,40.6,41.3,7,37.4
124,Universidade Federal do Pará,"Belém, Brazil",52.1,40.9,12.6,95.5,30,69,82.6,5.6,37.2
127,Pontifícia Universidade Católica do Paraná,"Curitiba, Brazil",52,59.5,15.6,80.6,16,63.4,66.5,12.3,37
129,Universidade Federal do Rio Grande,"Rio Grande, Brazil",59.5,74,6.6,99.6,53.4,39.4,51.5,1.2,36.4
132,Universidade Estadual de Ponta Grossa,"Ponta Grossa, Brazil",56.5,59.9,9.2,86,80.5,19.5,60.7,3.9,35.9
134,Universidade do Vale do Rio dos Sinos,"São Leopoldo, Brazil",67.1,50.6,12,94,31.7,26.1,72.8,14,35.5
138,Universidade Federal de Mato Grosso,"Cuiabá, Brazil",57,41.7,6.7,100,70.2,42.8,44.6,2.1,34.9
140,Universidade Federal de Alagoas,"Maceio, Brazil",40.7,77.5,4.2,82.7,43.6,70,30.8,1.4,34.3
142,Universidade Federal de Sergipe,"São Christovão, Brazil",57,57.5,5.2,95.3,49.9,44.3,49.8,3.9,34.2
144,Universidade Federal de Mato Grosso do Sul,"Campo Grande, Brazil",43.5,40.6,7.1,94.2,65.2,47.6,54.8,1.8,34
146,Universidade do Estado de Santa Catarina,"Florianópolis, Brazil",66.8,16.5,15.4,76.9,80,30.8,54.8,4.3,33.8
149,Universidade Federal do Triângulo Mineiro,"Uberaba, Brazil",53.4,51.7,3.8,96.2,87.5,18.2,28.7,3.8,33.2
151,Universidade Federal de São João del-Rei,"São João del Rei, Brazil",63.7,55.6,n/a,99.5,n/a,33.5,47.4,n/a,n/a
161,Universidade do Vale do Paraíba,"São José, Brazil",94.6,52.5,n/a,68.6,85.5,22.6,n/a,n/a,n/a
161,Universidade Estadual do Oeste do Paraná,"Foz do Iguaçu, Brazil",51.6,n/a,n/a,97.7,99.5,20,34.6,n/a,n/a
