rank,university_name,location,academic_reputation,citation_per_paper,papers_per_faculty,faculty_student,staff_with_phd,international_research,web_impact,employer_reputation,overall_score
1,Universidade de São Paulo,"São Paulo, Brazil",100,77.3,100,52,100,100,100,98.8,100
3,Universidade Estadual de Campinas,"Campinas, Brazil",99.8,85.5,100,39.6,100,99.9,99.9,83.7,96.2
8,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",99.1,52.6,96.4,39.6,99.7,99.9,99.8,75.1,90.3
10,UNESP,"Sao Paulo, Brazil",91.1,40.9,100,35.6,100,99.5,97.3,73.4,85.7
14,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",86.9,51.1,94.7,33.5,99.9,98.9,100,40.7,77.9
17,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",86.4,40.8,96.7,29.5,93.1,81.8,65.3,57.7,75.5
18,Universidade Federal do Rio Grande do Sul,"Porto Alegre, Brazil",83.7,71.6,97.3,42.8,99.6,99.5,88.3,20.6,75.2
23,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",68.4,51.8,95.5,46.4,99.7,98.1,97.4,20.6,68.7
25,Universidade de Brasília,"Brasília, Brazil",78,18.2,79.5,21.2,99.4,97.5,88.1,36.3,67.4
27,Universidade Federal de São Paulo,"São Paulo, Brazil",45.8,72.2,81.7,99.9,99.2,93.7,59,22.3,66.4
30,Universidade Federal de São Carlos,"São Paulo, Brazil",49.1,69.8,99.9,41.5,100,92.9,81.9,22.9,63.2
37,Universidade Federal do Paraná,"Curitiba, Brazil",50.9,37.1,86.1,50.6,98.4,85.2,89.8,25.9,60.6
48,Universidade Federal de Pernambuco,"Recife, Brazil",49.1,26.5,73.3,43.9,96.6,95.7,77.1,10.2,54.3
55,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",39.9,42.6,57.9,26.4,98.4,95.7,86.1,13.9,51.8
61,Pontifícia Universidade Católica do Rio Grande do Sul,"Porto Alegre, Brazil",29.3,87.9,97.4,23.6,97.2,61,40.2,16.5,49.3
65,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",45.6,1.1,13.3,74.3,96.4,3.3,52.2,54.4,48.6
69,Universidade Federal do Ceará,"Fortaleza, Brazil",30.8,50.9,84.8,14.8,98.7,86.2,66.5,13,47.7
70,Universidade Federal de Santa Maria,"Santa Maria, Brazil",26.3,53.2,77.3,48.1,96.8,86.7,63.7,4.2,47.4
