rank,university_name,location,citation_per_paper,papers_per_faculty,academic_reputation,faculty_student,staff_with_phd,international_research,web_impact,employer_reputation,overall_score
1,Universidade de São Paulo,"São Paulo, Brazil",84.5,100,100,54.7,100,100,100,99.9,100
3,Universidade Estadual de Campinas,"Campinas, Brazil",92.9,100,100,45.9,99.8,99.9,100,96.6,99.2
5,Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil",67.8,98.4,99.8,35.9,99.4,99.8,99.4,91.2,94
8,UNESP,"Sao Paulo, Brazil",63.5,100,96.3,34.5,100,99.2,99.3,89.3,92
13,Universidade Federal de Minas Gerais,"Belo Horizonte, Brazil",63.4,97.4,93.1,39.5,99.6,98.2,100,63.2,85.6
14,Pontifícia Universidade Católica do Rio de Janeiro,"Rio de Janeiro, Brazil",62,98.5,93.2,36.9,85.5,90.5,69.4,76.8,84.2
16,Universidade Federal do Rio Grande do Sul,"Porto Alegre, Brazil",85.7,98.9,89.5,49.1,99.7,99.8,95.2,39.5,82.8
21,Universidade Federal de Santa Catarina,"Florianópolis, Brazil",75.3,98.5,77.2,45.7,99.1,97.8,99.4,36.4,76.6
25,Universidade de Brasília,"Brasília, Brazil",35,89.6,86.6,21.2,99.1,98.8,96.3,47.3,74.4
28,Universidade Federal de São Paulo,"São Paulo, Brazil",79.1,90.8,52.9,99.7,98.1,95.4,73.7,38.1,73.2
29,Universidade Federal de São Carlos,"São Paulo, Brazil",88.4,100,57.4,39.2,99.6,91.2,90.5,45.3,71.8
32,Universidade Federal do Paraná,"Curitiba, Brazil",52.4,92.9,61.5,47.2,97.9,94.9,94.8,42.2,69.5
49,Universidade Federal de Pernambuco,"Recife, Brazil",45.3,84.7,57,39.3,97,95.8,89.4,18.1,60.5
54,Universidade Federal Fluminense,"Rio de Janeiro, Brazil",59.8,71.6,49.5,32.3,99.1,94.7,93.5,18.5,58.6
62,Pontifícia Universidade Católica do Rio Grande do Sul,"Porto Alegre, Brazil",95.2,99.3,35.3,32.4,96.6,76.6,54.8,30.1,57.5
68,Pontifícia Universidade Católica de São Paulo,"São Paulo, Brazil",1.6,22.8,51.5,73.4,96.9,3.8,61.8,73.9,55
69,Universidade Federal da Bahia,"Salvador, Brazil",35.7,71,47,24.7,95.8,93.1,95.9,20.5,54.4
70,Universidade Federal de Santa Maria,"Santa Maria, Brazil",78.9,85.4,35.4,46.1,96.4,85.2,79,8.2,54
73,Universidade Federal do Ceará,"Fortaleza, Brazil",60.8,91.6,40.1,15.2,98.2,89.7,66.9,20.9,53.3
79,Universidade do Estado do Rio de Janeiro,"Rio de Janeiro, Brazil",36.9,54.6,49.3,42.6,26.9,83,87.2,37.9,51
87,Pontifícia Universidade Católica do Paraná,"Curitiba, Brazil",86.8,64.3,23.6,42,88.8,74.4,56.2,22,49.2
89,Universidade Presbiteriana Mackenzie,"São Paulo, Brazil",88.1,32.6,20.5,39.2,84.3,39.1,45.6,55.7,48.8
94,Universidade Federal de Viçosa,"Viçosa, Brazil",58.5,99.1,28.9,29.9,97.6,58.6,76.2,17.2,47.7
95,Universidade Federal do Rio Grande do Norte,"Rio Grande do Norte, Brazil",58.2,74.1,29.4,28.4,95.3,90.8,84.4,5.2,47.4
