rank,name,Location,Social Impact – Score,Social Impact – Rank,Environmental Impact – Score,Environmental Impact – Rank,Good Governance – Score,Good Governance – Rank,Equality – Score,Equality – Rank,Knowledge Exchange – Score,Knowledge Exchange – Rank,Impact of Education – Score,Impact of Education – Rank,Employability & Opportunities – Score,Employability & Opportunities – Rank,Health & Wellbeing – Score,Health & Wellbeing – Rank,Environmental Sustainability – Score,Environmental Sustainability – Rank,Environmental Education – Score,Environmental Education – Rank,Environmental Research – Score,Environmental Research – Rank,Overall Sustainability Score
67,Universidade de São Paulo,Brazil,87.5,105,79.7,50,88.2,=144,85.6,=174,99,21,63.7,=646,90,129,88.9,=203,65.4,75,81.5,=49,89.4,=171,85
=237,Universidade Estadual de Campinas,Brazil,79,=264,62,=280,77,=370,74.5,346,92.2,80,57.6,=808,80.8,=259,85.7,=249,49.9,=251,64.9,=286,69.4,=672,71.8
=270,Universidade Federal do Rio de Janeiro,Brazil,75.7,=322,58,=339,90.2,=100,84.8,=187,96.4,=43,43.4,1001+,64.1,=561,80.7,=299,25.6,=869,62.4,322,87,=205,69.8
=306,Universidade Federal de Santa Catarina,Brazil,61.6,=641,69,=169,81.5,=277,66.7,=527,74.9,=400,45.9,1001+,48.2,=968,75.9,=401,60.3,110,66.8,=254,78.8,=396,67.5
=405,Universidade de Brasília,Brazil,60.7,=657,57.5,=345,86.2,=191,68.3,=494,80.9,=267,35.4,1001+,43.2,1001+,75,=455,36.8,=569,69.8,=193,62.5,=882,62.2
=437,Universidade Federal do Rio Grande do Sul,Brazil,67.8,=481,53.2,=436,60.8,682,74,=353,88.8,=124,39.2,1001+,55.9,=754,77.7,=366,33.3,=664,62.5,321,61.9,=897,60.9
=445,Universidade Federal de São Paulo,Brazil,64.8,=561,52.1,=466,76.3,=386,76.9,308,72.8,=446,46.2,1001+,50.7,=891,77.7,=366,29.2,=780,67.5,=234,55.2,1001+,60.5
=613,UNESP,Brazil,59.8,=683,52.5,=456,30.8,1001+,49.2,1001+,79.6,=290,34.9,1001+,69.7,=434,60.4,=910,26.1,=854,63.8,305,66.3,=774,53.8
=627,Universidade Federal Fluminense,Brazil,58.4,=716,44.2,=678,65.8,613,65.2,=563,73.1,=440,51.2,=977,42,1001+,61.8,=871,32.2,=695,42.5,=770,58.2,=988,53
=647,Universidade Federal de Santa Maria,Brazil,51.9,=899,47.3,=589,72.1,=475,59.4,=748,68.5,=563,38.2,1001+,31.5,1001+,68.6,=662,29.2,=780,50.8,=569,61.6,=902,52
=664,Universidade Federal de Lavras,Brazil,43.3,1001+,52.8,=448,82,=267,51.2,1001+,60.2,=864,12,1001+,29.3,1001+,75.9,=401,34.5,=637,51.6,=547,72,=597,51.6
771-780,Universidade Federal de Minas Gerais,Brazil,57,=771,43.7,=697,27.4,1001+,62.7,=638,71.7,=469,33.9,1001+,50.4,=899,64.6,=773,12,1001+,53.1,=505,66.2,=782,
801-820,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,52.4,=883,45.5,=640,24.7,1001+,40,1001+,63.7,=725,42.4,1001+,60.5,=629,58.8,=964,20.1,1001+,57.5,=411,56.9,1001+,
801-820,Universidade Estadual de Maringá,Brazil,42.2,1001+,43.5,=705,80.5,=297,49.5,1001+,66.5,=618,14.6,1001+,22.3,1001+,65.8,=730,29.5,=769,42.5,=770,59.5,=962,
841-860,Universidade Federal do Mato Grosso do Sul,Brazil,45.6,1001+,36.9,=896,83.2,=237,64.1,=596,62.7,=776,15.2,1001+,24,1001+,63.4,=825,37.8,=546,25.8,1001+,48.2,1001+,
