rank,overall_score,name,location,academic_reputation,citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_student_ratio,international_research_network,international_faculty_ratio
115,56.1,Universidade de São Paulo,Brazil,91.8,40.6,17.4,69.9,78.9,2.7,94.7,7.6
=210,42.5,Universidade Estadual de Campinas,Brazil,68.7,43.2,11.6,32.7,13.4,3.2,84.1,8.1
333,32.1,Universidade Federal do Rio de Janeiro,Brazil,58.1,8.9,19.3,25.3,52.2,1.6,77,9.2
=441,26.4,Universidade Federal de São Paulo,Brazil,11.3,6.6,98.2,4.8,3.1,1.5,45.3,5.6
=477,24.9,UNESP,Brazil,37,16.8,19.1,23.5,2.8,2.3,74.8,6.1
601-650,null,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,31.6,12.6,8.1,14.3,44.9,1.4,31.2,21
701-750,null,Universidade Federal de Minas Gerais,Brazil,31,8.6,11.8,8.7,37.6,2.1,62.8,9
751-800,null,Universidade Federal do Rio Grande do Sul,Brazil,28.5,11.7,10,3.9,10.5,1.8,73.8,2.5
801-1000,null,Pontifícia Universidade Católica de São Paulo,Brazil,11.4,1.2,31.2,14.5,30.8,1.3,null,5.3
801-1000,null,Universidade Federal de Santa Catarina,Brazil,19.5,6.7,20.1,4.9,10.1,2,54.3,4.2
801-1000,null,Universidade Federal de São Carlos,Brazil,13.2,15.9,17.8,5.3,4.2,1.8,32.1,3
801-1000,null,Universidade Federal do Paraná,Brazil,12.9,5,23.1,6.7,2.7,1.1,47.7,3.2
801-1000,null,Universidade de Brasília,Brazil,25,4.3,10.8,7.6,12.8,2.6,62.1,11.1
1001-1200,null,Universidade Federal de Juiz de Fora,Brazil,3.4,3.2,34.2,2.3,4.2,null,25.1,null
1001-1200,null,Universidade Federal de Pelotas,Brazil,4.5,5.5,29.5,1.3,6.3,1.4,23.3,null
1001-1200,null,Universidade Federal de Pernambuco,Brazil,12.3,3.8,21.7,2.8,6.8,1.3,42.5,1.8
1001-1200,null,Universidade do Estado do Rio de Janeiro,Brazil,8.7,3.2,16.6,4.6,11.5,1.2,30.9,4.2
1201-1400,null,Pontifícia Universidade Católica de Campinas,Brazil,4.9,2,8.1,4,4.7,1,1.6,2.6
1201-1400,null,Pontifícia Universidade Católica do Paraná,Brazil,4.1,4.7,5,3.2,4.8,1.6,17.9,1.2
1201-1400,null,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,6.9,5.4,8.8,4.3,3.1,1.6,25.3,2.5
1201-1400,null,Universidade Estadual de Londrina,Brazil,2.9,3.8,16.6,4.6,2.9,1.4,14.6,2
1201-1400,null,Universidade Federal Fluminense,Brazil,8.9,3.6,10.9,3.2,7.5,1.6,54.5,6
1201-1400,null,Universidade Federal da Bahia,Brazil,8.2,3.2,9.8,3,10.4,1.6,50.1,6.1
1201-1400,null,Universidade Federal da Paraíba,Brazil,3.3,3.2,11.2,3,2.7,1.2,28.4,2.9
1201-1400,null,Universidade Federal de Goiás,Brazil,3.2,4.4,7.8,1.5,2.7,1.3,26.7,4.1
1201-1400,null,Universidade Federal de Santa Maria,Brazil,5.3,4.9,14.5,1.7,4.8,1.3,37.1,2.9
1201-1400,null,Universidade Federal de Uberlândia,Brazil,3.1,3.3,12.8,2.2,2.8,1.4,44.7,2.5
1201-1400,null,Universidade Federal de Viçosa,Brazil,4.5,8.6,14.6,2.1,4.1,2,25.2,3.3
1201-1400,null,Universidade Federal do Ceará,Brazil,6.9,5.9,10.2,3,2.7,1.3,44.2,1.4
1201-1400,null,Universidade Federal do Estado do Rio de Janeiro,Brazil,2.7,2.2,13.5,1.9,3.2,null,9,null
