rank,overall_score,name,location,academic_reputation,citations_per_faculty,faculty_student_ratio,employer_reputation,employment_outcomes,international_student_ratio,international_research_network,international_faculty_ratio,sustainability_score
1001-1200,null,Pontifícia Universidade Católica de São Paulo,Brazil,11.3,1.2,34.1,11.2,13.8,1.2,1,4.4,1.2
1001-1200,null,Universidade Federal de Pernambuco,Brazil,12.4,4.2,17.6,2.6,4.6,1.3,10,1.7,1.6
1001-1200,null,Universidade Federal de São Carlos,Brazil,12.4,16.1,16.3,5.1,3.8,1.7,6.5,2.8,4
1001-1200,null,Universidade Federal do Paraná,Brazil,13,5.5,18.8,5.8,5.9,4,3,3.1,3.8
1201-1400,null,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,6.9,7.8,10.5,3.8,6.7,2.2,1.2,2.4,4.1
1201-1400,null,Universidade do Estado do Rio de Janeiro,Brazil,9.4,2.6,17.6,4,7.6,1.2,5.7,3.8,2.4
1201-1400,null,Universidade Federal da Bahia,Brazil,9.1,3.1,8.9,2.4,8.1,1.5,4.3,5.4,4.4
1201-1400,null,Universidade Federal de Juiz de Fora,Brazil,3.6,3,31.4,2.3,3.8,null,1.4,null,1
1201-1400,null,Universidade Federal de Pelotas,Brazil,5.1,5,27,1.4,3.8,1.4,1.2,null,1.1
1201-1400,null,Universidade Federal de Santa Maria,Brazil,6.5,5.2,15.8,1.6,9.6,1.2,3.4,2.6,17.8
1201-1400,null,Universidade Federal de Viçosa,Brazil,5,8.7,13.3,2.3,4.4,1.8,1.1,2.9,1.8
1201-1400,null,Universidade Federal do Ceará,Brazil,7.3,5.8,7.7,3.1,4.3,1.3,3.2,1.4,24.8
1201-1400,null,Universidade Federal Fluminense,Brazil,10,3.7,11.7,2.3,7.6,1.1,10.1,5.3,4.1
1201-1400,null,Universidade Presbiteriana Mackenzie,Brazil,3.5,1.9,10.6,7.6,37,1,1,5.1,1
1401,null,Pontifícia Universidade Católica de Campinas,Brazil,4.9,2,6.4,3.3,9.6,1.2,1,2.4,1
1401,null,Pontifícia Universidade Católica de Minas Gerais,Brazil,5,1.5,1.6,3.8,6.2,null,1,null,1
1401,null,Pontifícia Universidade Católica do Paraná,Brazil,4.3,4.2,6,2.7,5.6,1.4,1.4,1.9,1
1401,null,Universidade do Estado de Santa Catarina,Brazil,3.9,1.6,20.2,1.3,5.1,null,1,null,1
1401,null,Universidade Estadual de Londrina,Brazil,3.5,3.5,13.4,2.5,3.8,1.3,1.1,2.2,3.4
1401,null,Universidade Federal da Paraíba,Brazil,4.1,3.1,8.7,2.7,3.8,1.1,3.3,2.7,1.4
1401,null,Universidade Federal de Goiás,Brazil,3.6,4.2,7.1,1.6,3.8,1.3,1.5,3.7,1.4
1401,null,Universidade Federal de Uberlândia,Brazil,3.6,3.5,12.6,1.9,3.8,1.3,1.8,2.2,10.9
1401,null,Universidade Federal do Estado do Rio de Janeiro,Brazil,3.2,2.1,10,1.9,3.8,null,1,null,1
1401,null,Universidade Federal do Pará,Brazil,3.4,2.5,6.7,1.8,3.8,1.1,1.9,2.8,6.4
1401,null,Universidade Federal do Rio Grande do Norte,Brazil,4.6,3.2,8.6,1.5,3.8,null,5.6,null,1.4
220,42.7,Universidade Estadual de Campinas,Brazil,70.3,24.9,13,50.1,9.6,2.9,53.7,11.7,74.8
371,29.9,Universidade Federal do Rio de Janeiro,Brazil,60.1,8.3,15.4,17,36.8,1.6,51.7,7.9,23
419,26.8,UNESP,Brazil,39.3,16.2,15,34.6,5.7,2.8,34.5,6.2,53.7
595,19.9,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,33.4,7.7,9.3,24.5,28.6,1.6,2.4,12.4,32.7
691-700,null,Universidade Federal de Minas Gerais,Brazil,32.7,7.6,12.4,5.7,25.6,1.8,24.7,7.1,13.7
691-700,null,Universidade Federal do Rio Grande do Sul,Brazil,28.6,10.1,10.9,3.8,9.5,1.6,36,2.2,46.3
731-740,null,Universidade Federal de São Paulo,Brazil,11.4,6.3,97,4.3,4.7,1.5,7.2,5,4.5
801-850,null,Universidade de Brasília,Brazil,26.1,4.2,8.4,14.5,11.5,1.6,15.3,11.9,9.4
801-850,null,Universidade Federal de Santa Catarina,Brazil,19.6,8,19,4.4,8.2,2,18,4.4,57.4
85,62.8,Universidade de São Paulo,Brazil,92.4,29.9,19.2,82.9,89.7,2.3,90.9,6,96.1
