year,rank,institution,country,ods15_score
2020,10,University of São Paulo,Brazil,89.8
2020,37,Londrina State University,Brazil,74.5
2020,=43,Universidade Estadual de Maringá,Brazil,72.7
2020,70,Federal University of Espírito Santo,Brazil,65.6
2020,101–200,Universidade Federal do ABC (UFABC),Brazil,30.5–55.9
2020,101–200,Universidade Federal do Ceará (UFC),Brazil,30.5–55.9
2020,101–200,Universidade Nove de Julho (Uninove),Brazil,30.5–55.9
2020,101–200,Vila Velha University,Brazil,30.5–55.9
2020,201+,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,0.9–30.4
2020,201+,Universidade Federal Rural do Semi-Arido,Brazil,0.9–30.4
2020,201+,Federal University of Viçosa,Brazil,0.9–30.4
2020,201+,University of Franca,Brazil,0.9–30.4
2020,201+,Pontifícia Universidade Católica do Paraná,Brazil,0.9–30.4
2021,33,University of São Paulo,Brazil,80.6
2021,93,Universidade Federal do Paraná (UFPR),Brazil,64.8
2021,101–200,Universidade Estadual de Maringá,Brazil,44.5–62.6
2021,101–200,Universidade Federal do ABC (UFABC),Brazil,44.5–62.6
2021,101–200,Universidade Federal do Ceará (UFC),Brazil,44.5–62.6
2021,101–200,Federal University of Espírito Santo,Brazil,44.5–62.6
2021,101–200,Federal University of Mato Grosso do Sul,Brazil,44.5–62.6
2021,101–200,Londrina State University,Brazil,44.5–62.6
2021,101–200,Universidade Nove de Julho (Uninove),Brazil,44.5–62.6
2021,101–200,Pontifical Catholic University of Minas Gerais,Brazil,44.5–62.6
2021,201–300,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,32.0–44.4
2021,201–300,Universidade Federal Rural do Semi-Arido,Brazil,32.0–44.4
2021,201–300,Federal University of Uberlândia,Brazil,32.0–44.4
2021,201–300,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,32.0–44.4
2021,201–300,Vila Velha University,Brazil,32.0–44.4
2021,301–400,Universidade Federal de Ouro Preto (UFOP),Brazil,2.0–31.8
2021,301–400,Universidade Federal de Santa Catarina,Brazil,2.0–31.8
2021,301–400,Federal University of Santa Maria,Brazil,2.0–31.8
2021,301–400,Universidade Federal de São Paulo (UNIFESP),Brazil,2.0–31.8
2022,=22,University of São Paulo,Brazil,89.4
2022,99,Universidade Federal do Paraná (UFPR),Brazil,71.7
2022,101–200,University of Campinas,Brazil,55.6–71.1
2022,101–200,Federal University of Mato Grosso do Sul,Brazil,55.6–71.1
2022,201–300,Federal University of Espírito Santo,Brazil,43.0–55.5
2022,201–300,Universidade Federal de São Paulo (UNIFESP),Brazil,43.0–55.5
2022,201–300,Londrina State University,Brazil,43.0–55.5
2022,201–300,Universidade Nove de Julho (Uninove),Brazil,43.0–55.5
2022,201–300,Pontifical Catholic University of Minas Gerais,Brazil,43.0–55.5
2022,301–400,Universidade Estadual de Maringá,Brazil,31.1–42.9
2022,301–400,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,31.1–42.9
2022,301–400,Universidade Federal do Ceará (UFC),Brazil,31.1–42.9
2022,301–400,Universidade Federal de Juiz de Fora,Brazil,31.1–42.9
2022,301–400,Universidade Federal de Ouro Preto (UFOP),Brazil,31.1–42.9
2022,301–400,Federal Rural University of Pernambuco,Brazil,31.1–42.9
2022,301–400,Universidade Federal Rural do Semi-Arido,Brazil,31.1–42.9
2022,301–400,Universidade Federal de Santa Catarina,Brazil,31.1–42.9
2022,301–400,Federal University of Santa Maria,Brazil,31.1–42.9
2022,301–400,Universidade Federal de Sergipe,Brazil,31.1–42.9
2022,301–400,Federal University of Uberlândia,Brazil,31.1–42.9
2022,301–400,Vila Velha University,Brazil,31.1–42.9
2022,401+,Universidade do Estado do Amazonas,Brazil,3.2–31.0
2022,401+,Federal University of Vales do Jequitinhonha e Mucuri,Brazil,3.2–31.0
2022,401+,University of Franca,Brazil,3.2–31.0
2022,401+,University of Passo Fundo (UPF),Brazil,3.2–31.0
2023,101–200,Londrina State University,Brazil,59.5–72.2
2023,101–200,University of São Paulo,Brazil,59.5–72.2
2023,201–300,University of Campinas,Brazil,47.8–59.4
2023,201–300,Universidade Estadual de Maringá,Brazil,47.8–59.4
2023,201–300,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,47.8–59.4
2023,201–300,Federal University of Espírito Santo,Brazil,47.8–59.4
2023,201–300,Federal University of Mato Grosso do Sul,Brazil,47.8–59.4
2023,201–300,Federal University of Pará,Brazil,47.8–59.4
2023,201–300,Universidade Federal do Paraná (UFPR),Brazil,47.8–59.4
2023,201–300,Federal University of Santa Maria,Brazil,47.8–59.4
2023,301–400,Universidade Federal de Juiz de Fora,Brazil,38.2–47.7
2023,301–400,Universidade Federal Rural do Semi-Arido,Brazil,38.2–47.7
2023,301–400,Universidade Federal de Santa Catarina,Brazil,38.2–47.7
2023,301–400,Universidade Federal de São Paulo (UNIFESP),Brazil,38.2–47.7
2023,301–400,Universidade Federal de Sergipe,Brazil,38.2–47.7
2023,301–400,Universidade Nove de Julho (Uninove),Brazil,38.2–47.7
2023,301–400,State University of Ponta Grossa,Brazil,38.2–47.7
2023,401+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,2.1–38.0
2023,401+,Cogna Educação,Brazil,2.1–38.0
2023,401+,Universidade Estadual do Maranhão,Brazil,2.1–38.0
2023,401+,Federal Rural University of Pernambuco,Brazil,2.1–38.0
2023,401+,Fluminense Federal University,Brazil,2.1–38.0
2023,401+,University of Franca,Brazil,2.1–38.0
2023,401+,Vila Velha University,Brazil,2.1–38.0
2024,83,Londrina State University,Brazil,78.9
2024,101–200,Federal University of Mato Grosso do Sul,Brazil,64.7–76.3
2024,201–300,Federal University of Lavras,Brazil,55.2–64.6
2024,201–300,Federal University of Pará,Brazil,55.2–64.6
2024,201–300,Federal University of Santa Maria,Brazil,55.2–64.6
2024,201–300,Universidade Estadual de Maringá,Brazil,55.2–64.6
2024,201–300,Universidade Federal de Santa Catarina,Brazil,55.2–64.6
2024,201–300,Universidade Federal do Paraná (UFPR),Brazil,55.2–64.6
2024,201–300,University of São Paulo,Brazil,55.2–64.6
2024,301–400,Federal University of São Carlos,Brazil,45.8–55.1
2024,301–400,Federal University of Uberlândia,Brazil,45.8–55.1
2024,301–400,Fluminense Federal University,Brazil,45.8–55.1
2024,301–400,State University of Ponta Grossa,Brazil,45.8–55.1
2024,301–400,Universidade Federal de Juiz de Fora,Brazil,45.8–55.1
2024,301–400,Universidade Federal de Sergipe,Brazil,45.8–55.1
2024,301–400,University of Campinas,Brazil,45.8–55.1
2024,401–600,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,29.3–45.7
2024,401–600,Universidade Estadual do Maranhão,Brazil,29.3–45.7
2024,401–600,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,29.3–45.7
2024,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,29.3–45.7
2024,401–600,Universidade Estadual Paulista (Unesp),Brazil,29.3–45.7
2024,401–600,Universidade Federal de São Paulo (UNIFESP),Brazil,29.3–45.7
2024,401–600,Universidade Federal Rural do Semi-Arido,Brazil,29.3–45.7
2024,401–600,Universidade Nove de Julho (Uninove),Brazil,29.3–45.7
2024,601+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,2.0–29.1
2024,601+,Centro Universitário Senac - Campus Santo Amaro,Brazil,2.0–29.1
2024,601+,Federal Rural University of Pernambuco,Brazil,2.0–29.1
2024,601+,Universidade Evangélica de Goiás,Brazil,2.0–29.1
2024,601+,University Braz Cubas,Brazil,2.0–29.1
2024,601+,Vila Velha University,Brazil,2.0–29.1
2025,101–200,Federal University of Mato Grosso do Sul,Brazil,64.5–76.4
2025,101–200,Londrina State University,Brazil,64.5–76.4
2025,201–300,Federal University of Lavras,Brazil,55.1–64.4
2025,201–300,Federal University of Minas Gerais,Brazil,55.1–64.4
2025,201–300,University of São Paulo,Brazil,55.1–64.4
2025,301–400,Federal University of Espírito Santo,Brazil,48.5–54.9
2025,301–400,Federal University of Pará,Brazil,48.5–54.9
2025,301–400,Federal University of Rio de Janeiro,Brazil,48.5–54.9
2025,301–400,Federal University of São Carlos,Brazil,48.5–54.9
2025,301–400,Fluminense Federal University,Brazil,48.5–54.9
2025,301–400,State University of Ponta Grossa,Brazil,48.5–54.9
2025,301–400,Universidade Estadual do Maranhão,Brazil,48.5–54.9
2025,301–400,University of Campinas,Brazil,48.5–54.9
2025,401–600,Federal University of Santa Maria,Brazil,35.6–48.4
2025,401–600,Federal University of Uberlândia,Brazil,35.6–48.4
2025,401–600,Universidade Estadual de Maringá,Brazil,35.6–48.4
2025,401–600,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,35.6–48.4
2025,401–600,Universidade Estadual Paulista (Unesp),Brazil,35.6–48.4
2025,401–600,Universidade Federal de Santa Catarina,Brazil,35.6–48.4
2025,401–600,Universidade Federal de Sergipe,Brazil,35.6–48.4
2025,401–600,Universidade Federal do Paraná (UFPR),Brazil,35.6–48.4
2025,401–600,Universidade Nove de Julho (Uninove),Brazil,35.6–48.4
2025,601–800,Federal Rural University of Pernambuco,Brazil,15.5–35.5
2025,601–800,Federal University of Itajubá,Brazil,15.5–35.5
2025,601–800,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,15.5–35.5
2025,601–800,Universidade Federal de Juiz de Fora,Brazil,15.5–35.5
2025,601–800,Universidade Federal de São Paulo (UNIFESP),Brazil,15.5–35.5
2025,601–800,Universidade Federal Rural do Semi-Arido,Brazil,15.5–35.5
2025,601–800,Vila Velha University,Brazil,15.5–35.5
2025,801+,Centro Universitário Nossa Senhora do Patrocínio (CEUNSP),Brazil,2.2–15.4
2025,801+,Centro Universitário Senac - Campus Santo Amaro,Brazil,2.2–15.4
2025,801+,University Braz Cubas,Brazil,2.2–15.4
