Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
201–250,Universidade de São Paulo,Brazil,56.4–58.6,61.6,55.6,53.9,96.6,43.4
351–400,Universidade Estadual de Campinas,Brazil,49.9–51.5,51.7,48,50.2,78.1,41.5
601–800,Universidade Federal do Rio de Janeiro,Brazil,39.0–43.5,42.6,36.2,38.1,84.9,37.2
601–800,Universidade Estadual Paulista,Brazil,39.0–43.5,45.6,35.6,36.8,62.7,39
601–800,Universidade Federal do Rio Grande do Sul,Brazil,39.0–43.5,38.9,23.2,53.6,56.7,35.6
801–1000,Universidade Federal de Minas Gerais,Brazil,35.5–38.9,41.6,25.3,42.4,53,36.9
801–1000,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,35.5–38.9,37.1,34.2,38.9,72.8,45.4
801–1000,Universidade Federal de São Paulo,Brazil,35.5–38.9,36,25.3,46.2,59.2,36.3
1001–1200,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,32.1–35.4,33.6,19.6,40.2,57.8,36.1
1001–1200,Universidade Federal de Santa Catarina,Brazil,32.1–35.4,36.3,22.4,40.8,65.5,37
1201–1500,Universidade Federal de São Carlos,Brazil,27.3–32.0,34.3,21.5,33.5,55.4,33.1
1201–1500,Pontifícia Universidade Católica do Paraná,Brazil,27.3–32.0,26.3,13.1,40.6,52.4,31.4
1201–1500,Universidade Federal de Pernambuco,Brazil,27.3–32.0,33.8,18.5,25.6,62.5,28.8
1201–1500,Universidade Federal do Paraná,Brazil,27.3–32.0,37.2,18.5,29.7,51.9,35.4
1201–1500,Universidade de Brasília,Brazil,27.3–32.0,34,17.7,27.7,33.2,35.7
1501+,Universidade Católica de Brasília,Brazil,10.3–27.2,25.5,25.3,13.6,22.2,37.4
1501+,Universidade Estadual do Ceará,Brazil,10.3–27.2,24.9,12,10.2,19.8,22
1501+,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil,10.3–27.2,15.5,10.1,26.3,18.6,36.3
1501+,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",Brazil,10.3–27.2,12.6,7.1,8.8,17.5,23.3
1501+,Universidade Federal Rural de Pernambuco,Brazil,10.3–27.2,30.4,10.3,19.8,24.1,24.6
1501+,Universidade Federal do Espírito Santo,Brazil,10.3–27.2,24.2,12.8,25.5,53,30
1501+,Universidade Federal de Goiás,Brazil,10.3–27.2,31.8,23.7,25.4,25.4,30.6
1501+,Universidade Federal de Lavras,Brazil,10.3–27.2,30.8,19,28.7,32.8,29.9
1501+,Universidade Federal de Mato Grosso do Sul,Brazil,10.3–27.2,24,14.5,25.6,37.8,32.3
1501+,Universidade Federal do Pará,Brazil,10.3–27.2,25.2,12.9,21.8,28.4,26.5
1501+,Universidade Federal de Pelotas,Brazil,10.3–27.2,25.1,14.1,30,25,27.2
1501+,Universidade Federal do Rio Grande do Norte,Brazil,10.3–27.2,26.4,15.7,26.8,43.3,33.2
1501+,Universidade Federal de Santa Maria,Brazil,10.3–27.2,26.9,14,34,37.2,27.7
1501+,Universidade Federal de Uberlândia,Brazil,10.3–27.2,24.9,13.1,39.1,39.4,25.9
1501+,Universidade Federal de Viçosa,Brazil,10.3–27.2,30.4,12.4,23.4,28.7,27.5
1501+,Universidade Federal Fluminense,Brazil,10.3–27.2,23.6,13.4,27.9,27.2,31.5
1501+,Universidade Estadual de Londrina,Brazil,10.3–27.2,30.4,12.1,20,26.9,25.9
1501+,Universidade Presbiteriana Mackenzie,Brazil,10.3–27.2,20.9,12.6,14.8,27.2,29.9
1501+,Pontifícia Universidade Católica de Minas Gerais,Brazil,10.3–27.2,16.3,10.2,13.7,19.5,25.5
1501+,Universidade do Estado da Bahia,Brazil,10.3–27.2,22.1,8.8,5.2,17.1,22.3
1501+,Universidade Estadual de Ponta Grossa,Brazil,10.3–27.2,26.2,19,16.9,20.6,28.1
1501+,Universidade Estadual de Santa Cruz,Brazil,10.3–27.2,26.1,10.1,16.4,19.3,36.1
1501+,Universidade Estadual do Sudoeste da Bahia,Brazil,10.3–27.2,26.6,8.7,6,16.5,19.5
1501+,Universidade do Vale do Rio dos Sinos,Brazil,10.3–27.2,21.6,20.7,26.1,55.3,30.7
1501+,Universidade do Estado de Santa Catarina,Brazil,10.3–27.2,31.5,11.8,16.2,27.4,23.9
1501+,Universidade do Estado do Rio de Janeiro,Brazil,10.3–27.2,32.2,12.3,24.5,23.2,29.7
1501+,Universidade Estadual de Feira de Santana,Brazil,10.3–27.2,21.4,9.8,18.7,17.9,28.3
1501+,Universidade Estadual do Maranhão,Brazil,10.3–27.2,15.8,9.2,8.6,16.2,24
1501+,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,10.3–27.2,29.8,11.9,21.6,21.9,35
1501+,Universidade Estadual do Oeste do Paraná,Brazil,10.3–27.2,25.3,10,8.1,17.9,21.7
1501+,Universidade Federal da Bahia,Brazil,10.3–27.2,27.1,14.6,30,25.1,33
1501+,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,10.3–27.2,23.2,13.1,27.5,30.4,30.3
1501+,Universidade Federal de Juiz de Fora,Brazil,10.3–27.2,23.7,13.1,34.7,25.1,31.5
1501+,Universidade Federal de Ouro Preto,Brazil,10.3–27.2,22.3,22.2,23.5,35.2,26
1501+,Universidade Federal de Sergipe,Brazil,10.3–27.2,20.1,10.6,27.5,22.8,29.9
1501+,Universidade Federal do ABC,Brazil,10.3–27.2,18.8,17.3,36,28.9,45.1
1501+,Universidade Federal do Maranhão,Brazil,10.3–27.2,15,12,15.8,24.6,24.2
1501+,Universidade Federal Rural do Semi-Árido,Brazil,10.3–27.2,18,8.5,7.4,16.3,19.1
1501+,Universidade Nove de Julho,Brazil,10.3–27.2,23.6,9.1,12,17.8,32.1
1501+,Universidade de Caxias do Sul,Brazil,10.3–27.2,18.5,9.2,24.3,23.5,23.4
1501+,Universidade de Fortaleza,Brazil,10.3–27.2,14.9,9.7,15.6,19.6,29.7
1501+,Universidade de Passo Fundo,Brazil,10.3–27.2,20.8,12,27.5,19,27.9
1501+,Universidade de Pernambuco,Brazil,10.3–27.2,17.6,9.3,13.2,19.7,27.2
