Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International_Outlook
2,University of São Paulo,Brazil,87.6,92.3,100,72.9,63,56.4
3,University of Campinas,Brazil,86.5,92.8,100,66,74.4,53.9
=5,Federal University of Minas Gerais,Brazil,82.3,90.3,83.7,79.9,54.9,52.1
=5,Universidade Federal de São Paulo (UNIFESP),Brazil,82.3,93.4,86.4,76.2,39.4,41.1
7,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,82.2,84,96.3,56.7,100,72.1
9,Universidade Federal de Santa Catarina,Brazil,80.9,88.3,81.2,82.4,64.6,45.4
10,Universidade Estadual Paulista (Unesp),Brazil,80.3,93.2,98.6,40.9,55.1,48.1
12,Federal University of Rio de Janeiro,Brazil,78.5,90.8,89.6,49.8,98.8,39.6
13,Universidade Federal do Rio Grande do Sul,Brazil,78.4,76.2,89,83.4,62.3,33.2
14,University of Brasília,Brazil,76.1,85.6,77.2,67.8,61.9,52.6
15,Federal University of São Carlos,Brazil,73.4,83.1,90.6,43,63.7,33.9
19,Federal University of Viçosa,Brazil,71.1,84.4,87.6,35.2,76.5,27.1
20,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,69.2,75,68.7,70.5,71.5,39.6
22,Universidade Federal do Paraná (UFPR),Brazil,67.5,87.2,77.9,32.9,37.7,27.2
24,Federal University of Lavras,Brazil,66.4,75.1,84.4,31.8,90.6,27.6
25,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,66.2,85.1,72.4,37.8,54,26.8
28,Universidade Federal da Bahia,Brazil,64.9,75.6,75,45.5,35.5,29.3
30,Fluminense Federal University,Brazil,63.5,77.3,73.6,34.8,37.2,37.1
33,Universidade Federal de Pernambuco,Brazil,62.8,85.4,66,34.1,41.5,23.2
34,Universidade Federal do ABC (UFABC),Brazil,62.6,54.2,78.9,56.6,37,53.5
35,Universidade Federal do Ceará (UFC),Brazil,62.1,72.9,71.1,40.9,46.8,31.1
38,Unisinos University,Brazil,60.4,68.1,60.3,56.1,85,27.8
39,Federal University of Rio Grande do Norte (UFRN),Brazil,59.5,78.1,54.8,44.8,47.5,34.6
40,Federal University of Pelotas,Brazil,58.7,53.9,64.4,74.2,35.5,21.9
42,Federal University of Goiás,Brazil,57.1,69.7,63.7,35.6,53.1,25.6
=47,Pontifícia Universidade Católica do Paraná,Brazil,55,52.8,61.8,57.8,45.2,30.8
50,Londrina State University,Brazil,54.3,67.9,59.4,35.7,35.5,22.1
51,Federal University of Santa Maria,Brazil,54,67,59,35.2,38.1,23.5
55,Federal University of Uberlândia,Brazil,51.8,65.9,48.6,41,61.3,24
62,Universidade Federal de Sergipe,Brazil,47.2,36.4,35.5,96.7,35.5,24.6
64,Federal University of Pará,Brazil,45.6,49.9,53.2,32.5,41.9,26.8
65,State University of Ponta Grossa,Brazil,45.5,54.6,37.3,52.7,35.5,23.9
70,Universidade Federal de Juiz de Fora,Brazil,43.8,42.2,44.4,52.8,42.1,24.8
74,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,42.4,50,47.9,25,47.1,26.2
76,Universidade Federal de Ouro Preto (UFOP),Brazil,42,46.4,39.3,43.2,49.1,28
81,Universidade Estadual de Maringá,Brazil,39.8,52.5,37,28.6,36.7,23
=82,Federal University of Itajubá,Brazil,39.7,40.3,33.6,48.5,45.8,38.1
84,Mackenzie Presbyterian University,Brazil,39.6,49.5,43.7,18.4,40.2,30.7
87,Federal University of Paraíba (UFPB),Brazil,39.3,54.2,34.4,26.7,38,24.5
=88,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,38.9,40.7,38.8,35.3,35.5,42
=88,State University of Santa Cruz,Brazil,38.9,39.5,45.9,28.2,35.5,34.2
