Rank,University,Country,Overall,Teaching,Research,Citations,Industry_Income,International_Outlook
2,University of São Paulo,Brazil,87.6,91.9,100.0,72.9,59.1,58.9
3,University of Campinas,Brazil,86.3,92.0,100.0,65.5,73.1,56.1
5,Federal University of Minas Gerais,Brazil,82.6,91.6,85.5,79.0,50.4,46.4
7,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,81.3,83.4,96.7,55.6,100.0,64.2
8,Universidade Federal do Rio Grande do Sul,Brazil,80.9,83.5,90.4,78.3,70.7,35.5
9,Universidade Federal de São Paulo (UNIFESP),Brazil,80.7,90.3,86.7,75.8,38.3,34.4
10,Federal University of Rio de Janeiro,Brazil,80.5,92.0,94.1,48.5,96.6,43.0
=11,Universidade Estadual Paulista (Unesp),Brazil,79.7,91.9,97.8,41.9,51.3,49.6
=11,Universidade Federal de Santa Catarina,Brazil,79.7,87.8,81.2,76.3,64.9,48.1
14,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,75.9,78.0,77.8,78.3,94.5,45.0
15,Federal University of São Carlos,Brazil,74.4,85.0,90.1,45.4,56.9,35.4
16,University of Brasília,Brazil,74.1,84.7,75.1,64.4,57.3,50.2
20,Federal University of Viçosa,Brazil,69.8,85.6,80.5,39.1,69.8,27.3
21,Federal University of Lavras,Brazil,68.1,75.3,85.3,37.2,85.7,32.1
22,Universidade Federal do Paraná (UFPR),Brazil,66.8,84.2,75.5,38.4,38.5,28.5
26,Universidade Federal da Bahia,Brazil,64.9,76.8,72.8,46.6,38.0,29.9
28,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,64.6,84.9,67.6,38.6,51.2,27.1
29,Federal University of Santa Maria,Brazil,62.8,74.2,74.2,41.9,39.6,20.3
31,Fluminense Federal University,Brazil,62.1,75.3,70.5,34.9,38.8,40.4
32,Universidade Federal do ABC (UFABC),Brazil,61.9,53.0,74.0,63.4,39.4,53.6
=34,Universidade Federal de Pernambuco,Brazil,61.1,79.7,63.9,38.4,41.4,26.3
=34,Federal University of Rio Grande do Norte (UFRN),Brazil,61.1,77.0,61.4,43.3,45.8,35.6
39,Federal University of Pelotas,Brazil,58.2,48.6,72.0,67.8,36.9,23.7
40,Universidade Federal do Ceará (UFC),Brazil,57.2,65.0,66.1,39.8,40.9,31.6
44,Federal University of Goiás,Brazil,56.7,64.2,67.6,36.1,50.1,28.2
45,Pontifícia Universidade Católica do Paraná,Brazil,56.6,50.8,62.5,67.9,46.4,31.1
46,Unisinos University,Brazil,55.8,62.9,55.8,49.3,81.0,30.1
47,Londrina State University,Brazil,55.7,64.7,62.6,36.3,84.2,23.3
48,Universidade Estadual de Maringá,Brazil,54.5,66.3,63.4,31.8,37.9,23.3
=56,Federal University of Uberlândia,Brazil,51.4,63.6,43.5,51.8,57.3,25.9
59,Universidade Federal de Ouro Preto (UFOP),Brazil,49.5,49.6,57.9,41.9,51.1,30.3
63,Universidade do Estado de Santa Catarina,Brazil,47.2,46.2,51.7,52.4,37.4,20.3
=69,Federal University of Espírito Santo,Brazil,45.5,59.8,35.8,43.0,39.6,29.1
71,Mackenzie Presbyterian University,Brazil,44.7,49.8,50.1,32.2,63.7,22.3
72,Universidade Federal de Juiz de Fora,Brazil,44.6,50.1,39.1,50.8,38.8,28.4
74,Universidade Estadual do Oeste do Paraná (Unioeste),Brazil,43.3,55.1,50.9,16.0,60.4,19.0
=76,Universidade Federal de Sergipe,Brazil,42.8,31.8,25.5,98.6,36.9,26.6
80,University of South Santa Catarina (Unisul),Brazil,42.4,34.1,20.4,99.0,37.1,33.1
84,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,41.6,45.0,46.3,33.5,42.5,24.6
85,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,41.1,42.0,44.7,39.1,36.9,26.9
86,State University of Ponta Grossa,Brazil,41.0,44.2,36.1,50.5,36.9,24.3
=87,State University of Santa Cruz,Brazil,40.8,43.8,43.6,32.2,38.1,37.4
90,University of Fortaleza (UNIFOR),Brazil,40.1,30.1,21.8,92.1,37.1,34.1
94,Federal University of Pará,Brazil,39.1,42.0,40.4,34.9,48.2,27.0
