Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International Outlook
2,University of São Paulo,Brazil,89.2,92.6,100.0,79.1,68.2,58.3
3,University of Campinas,Brazil,87.9,91.3,100.0,74.6,74.6,55.9
4,Universidade Federal de São Paulo (UNIFESP),Brazil,85.8,92.1,91.9,88.6,36.9,36.3
6,Universidade Federal de Santa Catarina,Brazil,83.9,88.3,94.7,71.7,98.0,42.0
8,Universidade Federal do Rio Grande do Sul,Brazil,83.1,84.8,92.7,85.6,51.0,35.5
9,Federal University of Minas Gerais,Brazil,83.0,92.1,87.5,78.4,44.7,44.3
10,Pontifical Catholic University of Rio de Janeiro (PUC-Rio),Brazil,82.4,81.3,96.1,66.3,100.0,63.2
11,Federal University of Rio de Janeiro,Brazil,80.7,87.6,97.3,52.1,100.0,42.1
12,Universidade Estadual Paulista (Unesp),Brazil,80.0,90.2,99.5,42.8,60.8,47.8
14,Pontifical Catholic University of Rio Grande do Sul (PUCRS),Brazil,79.3,79.0,86.8,85.1,61.3,36.8
15,University of Brasília,Brazil,75.2,85.5,81.1,55.1,91.5,47.6
17,Federal University of São Carlos,Brazil,74.4,83.2,91.0,46.6,67.5,34.2
19,Federal University of Viçosa,Brazil,72.0,85.9,85.4,40.4,71.5,29.3
20,Universidade Federal do Paraná (UFPR),Brazil,70.7,83.7,85.4,40.7,46.9,29.3
22,Universidade Federal do ABC (UFABC),Brazil,68.9,61.4,82.5,68.5,41.2,53.4
23,Universidade do Estado do Rio de Janeiro (UERJ),Brazil,67.5,82.0,74.6,45.3,51.6,29.8
24,Federal University of Lavras,Brazil,67.4,71.9,83.5,41.3,97.9,32.6
27,Federal University of Santa Maria,Brazil,64.8,75.4,60.1,71.1,39.4,26.2
=28,Federal University of Rio Grande do Norte (UFRN),Brazil,64.7,74.2,59.0,71.3,43.7,34.2
32,Universidade Federal da Bahia,Brazil,63.7,72.6,67.0,57.9,36.5,30.5
33,Universidade Federal do Ceará (UFC),Brazil,63.6,72.7,76.3,41.2,48.2,27.0
37,Universidade Federal de Pernambuco,Brazil,62.2,80.7,65.2,39.7,49.9,24.3
39,Pontifícia Universidade Católica do Paraná,Brazil,61.7,61.8,64.9,70.0,47.8,28.8
40,Fluminense Federal University,Brazil,61.1,66.5,72.4,44.4,47.0,33.7
41,Federal University of Goiás,Brazil,60.0,68.4,65.9,48.1,45.2,30.0
45,Universidade Estadual de Maringá,Brazil,58.4,67.8,73.0,32.8,37.5,22.0
47,Federal University of Uberlândia,Brazil,57.7,64.7,50.5,70.3,48.8,26.1
50,Londrina State University,Brazil,56.7,61.0,66.3,41.8,79.4,24.2
52,Federal University of Pelotas,Brazil,55.9,53.6,71.9,47.8,38.8,21.4
54,Federal University of Espírito Santo,Brazil,53.8,61.3,50.3,53.9,63.7,29.8
64,Universidade Federal de Ouro Preto (UFOP),Brazil,50.3,56.4,56.7,37.6,54.2,25.1
69,Unisinos University,Brazil,48.8,53.1,52.7,39.8,53.6,32.5
=70,Universidade Federal de Sergipe,Brazil,48.6,37.9,38.5,94.5,34.9,28.2
74,Universidade Federal de Juiz de Fora,Brazil,46.9,50.9,47.8,45.8,40.3,28.6
75,Federal University of Pará,Brazil,46.3,55.9,46.1,36.4,46.2,27.9
76,Universidade Federal de Ciências da Saúde de Porto Alegre (UFCSPA),Brazil,45.9,44.3,50.5,49.3,34.9,26.9
78,Federal University of Paraíba (UFPB),Brazil,45.2,55.8,45.0,36.1,34.9,23.3
80,Universidade Tecnológica Federal do Paraná (UTFPR),Brazil,44.9,45.6,54.1,35.9,37.5,27.2
83,Universidade do Estado de Santa Catarina,Brazil,44.1,45.5,49.4,42.3,35.8,21.0
=86,Federal University of the State of Rio de Janeiro (UNIRIO),Brazil,43.4,50.3,45.6,22.2,34.9,59.8
