Rank,Name,Country,Overall,Teaching,Research Environment,Research Quality,Industry,International Outlook
1,Universidade de São Paulo,Brazil,62.8,65.5,56.1,69.9,96.6,43.4
2,Universidade Estadual de Campinas,Brazil,58.1,58.7,52.3,69.1,78.1,41.5
=4,Universidade Federal do Rio de Janeiro,Brazil,47.9,50.2,38.4,56.8,84.9,37.2
=4,Universidade Estadual Paulista,Brazil,47.9,52.1,38.1,57.5,62.7,39
6,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,44.2,42,39.1,50.7,72.8,45.4
8,Universidade Federal do Rio Grande do Sul,Brazil,40.9,42.1,27.4,60.1,56.7,35.6
10,Universidade Federal de Minas Gerais,Brazil,39.8,45.6,26.5,50.2,53,36.9
=11,Universidade Federal de Santa Catarina,Brazil,39.3,40.9,26.1,54.5,65.5,37
=11,Universidade Federal de São Paulo,Brazil,39.3,40.7,28.6,51.6,59.2,36.3
15,Universidade Federal de São Carlos,Brazil,36.9,38.1,26.5,50,55.4,33.1
17,Universidade Federal do Paraná,Brazil,34.5,41.1,20.4,43,51.9,35.4
19,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,33,39,22,35,57.8,36.1
20,Universidade de Brasília,Brazil,32.1,37.7,19.2,42.4,33.2,35.7
21,Universidade Federal de Pernambuco,Brazil,32,38.7,19.3,36.8,62.5,28.8
22,Universidade Federal de Lavras,Brazil,30.9,34.8,21.8,38.9,32.8,29.9
26,Universidade do Vale do Rio dos Sinos,Brazil,29.5,26.1,25.3,36.6,55.3,30.7
27,Universidade Federal de Goiás,Brazil,29.3,36,23.3,28.2,25.4,30.6
28,Universidade Federal de Ouro Preto,Brazil,29.2,25.6,29.8,34.5,35.2,26
=30,Universidade Federal do ABC,Brazil,28.4,22.2,20.2,46.7,28.9,45.1
=32,Universidade Federal de Santa Maria,Brazil,28.3,28.4,17.5,44.6,37.2,27.7
37,Universidade do Estado do Rio de Janeiro,Brazil,27.7,36.8,13.8,35.1,23.2,29.7
38,Universidade Católica de Brasília,Brazil,27.6,32.8,26.2,18,22.2,37.4
=39,Universidade Federal do Rio Grande do Norte,Brazil,27,31.2,16.5,31.8,43.3,33.2
=44,Pontifícia Universidade Católica do Paraná,Brazil,26.5,27.4,16,35.8,52.4,31.4
=44,Universidade Estadual de Maringá,Brazil,26.5,35.1,16.3,29.5,26.8,23.7
=48,Universidade Federal do Espírito Santo,Brazil,26.3,28.6,15.2,34.3,53,30
=48,Universidade Federal Fluminense,Brazil,26.3,27.9,15.4,39.9,27.2,31.5
50,Universidade Federal de Pelotas,Brazil,26.2,27.8,16.9,38.7,25,27.2
51,Universidade Federal de Viçosa,Brazil,26,33.4,13.7,32.6,28.7,27.5
54,Universidade Federal da Bahia,Brazil,25.6,30.2,15.6,31.7,25.1,33
=59,Universidade Federal Rural de Pernambuco,Brazil,25.1,36,12.1,28.2,24.1,24.6
61,Universidade Federal de Uberlândia,Brazil,25,28.2,15.1,32.6,39.4,25.9
=64,Universidade Federal de Mato Grosso do Sul,Brazil,24.7,26.9,16.3,29.4,37.8,32.3
=64,Universidade Federal de Juiz de Fora,Brazil,24.7,27,15.4,33.9,25.1,31.5
=67,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,24.6,32.2,14,25.9,21.9,35
69,Universidade Estadual de Londrina,Brazil,24.5,32.6,13.7,27.6,26.9,25.9
=70,Universidade Federal do Pará,Brazil,24.4,28.6,14.7,31.5,28.4,26.5
=70,Universidade do Estado de Santa Catarina,Brazil,24.4,34.5,13.5,24.5,27.4,23.9
=73,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,24.3,26.5,16.4,30.4,30.4,30.3
=78,Universidade Estadual de Ponta Grossa,Brazil,23.3,27.7,19.7,20.2,20.6,28.1
=95,Universidade de Passo Fundo,Brazil,21.5,22.9,14.9,28.4,19,27.9
=99,Universidade Estadual de Santa Cruz,Brazil,20.7,27.9,11.6,18,19.3,36.1
101–125,Universidade Estadual do Ceará,Brazil,18.1–20.6,26.3,13.8,15,19.8,22
101–125,Universidade Presbiteriana Mackenzie,Brazil,18.1–20.6,24.5,13.9,18.4,27.2,29.9
101–125,Pontifícia Universidade Católica de Campinas,Brazil,18.1–20.6,24.7,13.4,14.2,18.5,24.1
101–125,Universidade Cidade de São Paulo,Brazil,18.1–20.6,17.6,15.2,15.9,17.6,47.2
101–125,Universidade Estadual do Oeste do Paraná,Brazil,18.1–20.6,28,10.8,11.8,17.9,21.7
101–125,Universidade Federal de Sergipe,Brazil,18.1–20.6,21.3,12.6,24.5,22.8,29.9
101–125,Universidade do Vale do Itajaí,Brazil,18.1–20.6,20,16.6,16.3,40.4,32.3
126–150,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil,17.3–18.0,18.1,11.3,21.9,18.6,36.3
126–150,Universidade Estadual de Feira de Santana,Brazil,17.3–18.0,23.4,11.2,15.7,17.9,28.3
126–150,Universidade Federal do Maranhão,Brazil,17.3–18.0,18.6,12.9,19.4,24.6,24.2
151+,Universidade Cruzeiro do Sul,Brazil,11.4–17.2,13.9,9.6,9.8,16.8,41.9
151+,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo",Brazil,11.4–17.2,15.1,7.2,6,17.5,23.3
151+,Pontifícia Universidade Católica de Minas Gerais,Brazil,11.4–17.2,19.4,11.7,17.7,19.5,25.5
151+,Universidade Positivo,Brazil,11.4–17.2,24.1,9.3,6.4,16.5,32.1
151+,Universidade do Estado da Bahia,Brazil,11.4–17.2,23.6,9.8,6.5,17.1,22.3
151+,Universidade Estadual do Sudoeste da Bahia,Brazil,11.4–17.2,28.8,9.6,8.2,16.5,19.5
151+,Universidade Tiradentes,Brazil,11.4–17.2,17.1,9.9,12.4,17.3,43.2
151+,Universidade do Extremo Sul Catarinense,Brazil,11.4–17.2,21.9,10.2,13.8,23.7,31.4
151+,Centro Universitário Christus,Brazil,11.4–17.2,20.9,9.9,7.1,16.3,22.3
151+,Universidade Estadual do Maranhão,Brazil,11.4–17.2,17.3,10.4,9.3,16.2,24
