Rank,Name,Country,Overall,Teaching,Research,Citations,Industry Income,International Outlook
2,Universidade de São Paulo,Brazil,88.3,94.4,100,75.1,60.5,50.6
3,Universidade Estadual de Campinas,Brazil,87,90.9,100,71.4,79.8,53.4
5,Universidade Federal de São Paulo,Brazil,84.5,90.7,93.3,79.8,63.9,35
6,Universidade Federal do Rio Grande do Sul,Brazil,83.1,84.7,94.9,81.8,58.6,33.7
7,Universidade Federal de Minas Gerais,Brazil,82.5,91.4,90.7,70.8,64.6,39.7
8,Pontifícia Universidade Católica do Rio de Janeiro,Brazil,81.9,84.4,97.4,58.3,100,56.7
10,Universidade Estadual Paulista,Brazil,81.1,93.2,99.7,41.3,57.2,52.6
11,Universidade Federal do Rio de Janeiro,Brazil,80.9,90.7,99.1,45.2,100,40.2
12,Universidade Federal de Santa Catarina,Brazil,80.3,85.6,94.3,60.1,93.9,40.7
13,Pontifícia Universidade Católica do Rio Grande do Sul,Brazil,78.8,81.1,83.3,82.5,81.4,36.6
16,Universidade Federal de São Carlos,Brazil,72.9,81,90.7,45.1,61.5,30.9
17,Universidade de Brasília,Brazil,70.8,84.5,76.5,48.6,48.5,46.3
18,Universidade Federal do ABC,Brazil,69.8,60.7,88.5,64.6,40.8,52.8
19,Universidade Federal do Paraná,Brazil,69.5,79.2,83.8,44,56.3,29.9
21,Universidade do Estado do Rio de Janeiro,Brazil,67.2,82.7,75.7,41.7,47.7,29.3
23,Universidade Federal do Ceará,Brazil,66.6,74.9,84.1,34.4,87.3,25.5
24,Universidade Federal de Viçosa,Brazil,66.4,81.5,78.3,34.2,58,27.9
26,Universidade Federal da Bahia,Brazil,65.7,72.4,70.2,63.3,36.1,29.2
=28,Universidade Federal de Pernambuco,Brazil,64.5,79.6,71.4,40.2,68,24.1
=28,Universidade Federal de Santa Maria,Brazil,64.5,75.5,64.9,62.1,39,25.4
32,Universidade Federal de Lavras,Brazil,63.4,67.6,78.7,42.8,57.9,30.4
35,Universidade Federal do Rio Grande do Norte,Brazil,62.5,70.5,63.7,60.1,49.4,29.9
=36,Universidade Federal Fluminense,Brazil,61.9,66.9,75.3,41.7,43.5,37.7
42,Universidade Federal de Goiás,Brazil,59.1,69.1,60.7,51.9,43,28.6
=45,Universidade Federal de Uberlândia,Brazil,58.5,56.9,56.2,76.6,68.6,24.9
47,Pontifícia Universidade Católica do Paraná,Brazil,57.4,53.9,61.9,69.6,37,28
49,Universidade Federal do Espírito Santo,Brazil,56.8,62,61.2,46.6,88.6,28.1
50,Universidade Estadual de Maringá,Brazil,56.2,66.9,70,28.8,37.6,22.1
51,Universidade Estadual de Londrina,Brazil,55.2,63.4,65.4,31.8,78.1,24
56,Universidade do Vale do Rio dos Sinos,Brazil,52.9,56.9,64.7,33.3,58,31.3
63,Universidade Federal de Juiz de Fora,Brazil,49.9,48.8,57.2,49.2,38.9,27.7
65,Universidade Federal de Ouro Preto,Brazil,48.9,52.3,54.3,40.8,57.3,27.6
70,Universidade Federal de Sergipe,Brazil,46.6,34.3,43.5,82,36.1,28.8
71,Universidade Federal do Pará,Brazil,46.5,53.3,51.9,32.7,43.3,26.9
72,Universidade Federal de Ciências da Saúde de Porto Alegre,Brazil,46.4,43,53.4,49.2,36.1,26.9
=82,Universidade Tecnológica Federal do Paraná,Brazil,43.6,42.2,56.4,31.2,37.9,26.6
84,Universidade do Estado de Santa Catarina,Brazil,43.1,54,47.6,24,36.7,22.8
86,Pontifícia Universidade Católica de Minas Gerais,Brazil,42.8,52.1,41.6,36.1,36.9,24.3
=93,Universidade Federal Rural de Pernambuco,Brazil,41.4,49.8,42.4,31.6,36.8,23.4
96,Universidade Federal de Itajubá,Brazil,40.7,38.8,42.4,41.5,44.7,38.8
98,Universidade Federal de Mato Grosso do Sul,Brazil,40.3,40.5,36.5,47.9,55.5,31.9
=99,Universidade Estadual de Ponta Grossa,Brazil,40.2,44.5,40.4,38.1,36.8,24.7
101–125,Universidade Estadual do Ceará,Brazil,34.0–39.9,45.1,37.7,14.1,40.6,18.7
101–125,Universidade Estadual do Norte Fluminense Darcy Ribeiro,Brazil,34.0–39.9,32.4,38,45.8,44.2,46.4
101–125,Universidade Estadual do Oeste do Paraná,Brazil,34.0–39.9,50.3,31.4,13.6,36.2,20.7
101–125,Universidade de Fortaleza,Brazil,34.0–39.9,28.1,21.9,78,37.2,33.3
101–125,Universidade Presbiteriana Mackenzie,Brazil,34.0–39.9,47.7,36.2,30,42.4,24.3
101–125,Pontifícia Universidade Católica de Campinas,Brazil,34.0–39.9,50.1,37.1,16.2,36.1,26.3
126–150,Universidade Católica de Brasília,Brazil,29.4–33.5,35.3,35.2,26.3,36.1,33.2
126–150,Universidade de Caxias do Sul,Brazil,29.4–33.5,36.5,33.1,28.6,49.5,22.2
126–150,Universidade Federal do Maranhão,Brazil,29.4–33.5,30.8,33.9,32.5,42.6,24
126–150,Universidade de Pernambuco,Brazil,29.4–33.5,32,31.3,31.8,37.8,21.8
126–150,Universidade Estadual de Santa Cruz,Brazil,29.4–33.5,32.1,23.8,33.5,38.1,41.7
126–150,Universidade do Vale do Itajaí,Brazil,29.4–33.5,43,26.3,28.2,38.1,31.8
151+,Centro Federal de Educação Tecnológica Celso Suckow da Fonseca,Brazil,16.1–29.3,17,24.6,48.8,36.1,27.4
151+,Universidade Estadual do Maranhão,Brazil,16.1–29.3,23.4,14.5,15.4,36.5,20.7
151+,Universidade Federal da Integração Latino-Americana,Brazil,16.1–29.3,28.4,24.3,18.1,36.1,71.2
151+,Universidade Federal Rural do Semi-Árido,Brazil,16.1–29.3,30.2,27.2,7.4,38.9,19.3
151+,Universidade de Franca,Brazil,16.1–29.3,21,14.7,14.9,36.5,18.6
151+,Universidade Nove de Julho,Brazil,16.1–29.3,23.8,12,31.8,39.4,27.2
151+,Universidade do Estado da Bahia,Brazil,16.1–29.3,26.4,17.3,8.5,36.1,19
151+,Universidade do Extremo Sul Catarinense,Brazil,16.1–29.3,21.7,22.2,45.6,37.8,26.3
151+,Centro Universitário Christus,Brazil,16.1–29.3,19.8,14.8,12.3,36.3,18.7
151+,Universidade Estadual do Norte do Paraná,Brazil,16.1–29.3,31.5,11.4,9.7,36.1,20.1
151+,Universidade Vila Velha,Brazil,16.1–29.3,30.6,23.5,37.5,37.7,24.4
